data_seed,data_type,ntrain
73,skewnorm,1000
73,ptm,250
73,ptm,500
73,ptm,1000
74,gaussian,250
74,gaussian,500
74,gaussian,1000
74,mixture,250
74,mixture,500
74,mixture,1000
74,skewnorm,250
74,skewnorm,500
74,skewnorm,1000
74,ptm,250
74,ptm,500
74,ptm,1000
75,gaussian,250
75,gaussian,500
75,gaussian,1000
75,mixture,250
75,mixture,500
75,mixture,1000
75,skewnorm,250
75,skewnorm,500
75,skewnorm,1000
75,ptm,250
75,ptm,500
75,ptm,1000
76,gaussian,250
76,gaussian,500
76,gaussian,1000
76,mixture,250
76,mixture,500
76,mixture,1000
76,skewnorm,250
76,skewnorm,500
76,skewnorm,1000
76,ptm,250
76,ptm,500
76,ptm,1000
77,gaussian,250
77,gaussian,500
77,gaussian,1000
77,mixture,250
77,mixture,500
77,mixture,1000
77,skewnorm,250
77,skewnorm,500
77,skewnorm,1000
77,ptm,250
77,ptm,500
77,ptm,1000
78,gaussian,250
78,gaussian,500
78,gaussian,1000
78,mixture,250
78,mixture,500
78,mixture,1000
78,skewnorm,250
78,skewnorm,500
78,skewnorm,1000
78,ptm,250
78,ptm,500
78,ptm,1000
79,gaussian,250
79,gaussian,500
79,gaussian,1000
79,mixture,250
79,mixture,500
79,mixture,1000
79,skewnorm,250
79,skewnorm,500
79,skewnorm,1000
79,ptm,250
79,ptm,500
79,ptm,1000
80,gaussian,250
80,gaussian,500
80,gaussian,1000
80,mixture,250
80,mixture,500
80,mixture,1000
80,skewnorm,250
80,skewnorm,500
80,skewnorm,1000
80,ptm,250
80,ptm,500
80,ptm,1000
81,gaussian,250
81,gaussian,500
81,gaussian,1000
81,mixture,250
81,mixture,500
81,mixture,1000
81,skewnorm,250
81,skewnorm,500
81,skewnorm,1000
81,ptm,250
81,ptm,500
81,ptm,1000
82,gaussian,250
82,gaussian,500
82,gaussian,1000
82,mixture,250
82,mixture,500
82,mixture,1000
82,skewnorm,250
82,skewnorm,500
82,skewnorm,1000
82,ptm,250
82,ptm,500
82,ptm,1000
83,gaussian,250
83,gaussian,500
83,gaussian,1000
83,mixture,250
83,mixture,500
83,mixture,1000
83,skewnorm,250
83,skewnorm,500
83,skewnorm,1000
83,ptm,250
83,ptm,500
83,ptm,1000
84,gaussian,250
84,gaussian,500
84,gaussian,1000
84,mixture,250
84,mixture,500
84,mixture,1000
84,skewnorm,250
84,skewnorm,500
84,skewnorm,1000
84,ptm,250
84,ptm,500
84,ptm,1000
85,gaussian,250
85,gaussian,500
85,gaussian,1000
85,mixture,250
85,mixture,500
85,mixture,1000
85,skewnorm,250
85,skewnorm,500
85,skewnorm,1000
85,ptm,250
85,ptm,500
85,ptm,1000
86,gaussian,250
86,gaussian,500
86,gaussian,1000
86,mixture,250
86,mixture,500
86,mixture,1000
86,skewnorm,250
86,skewnorm,500
86,skewnorm,1000
86,ptm,250
86,ptm,500
86,ptm,1000
87,gaussian,250
87,gaussian,500
87,gaussian,1000
87,mixture,250
87,mixture,500
87,mixture,1000
87,skewnorm,250
87,skewnorm,500
87,skewnorm,1000
87,ptm,250
87,ptm,500
87,ptm,1000
88,gaussian,250
88,gaussian,500
88,gaussian,1000
88,mixture,250
88,mixture,500
88,mixture,1000
88,skewnorm,250
88,skewnorm,500
88,skewnorm,1000
88,ptm,250
88,ptm,500
88,ptm,1000
89,gaussian,250
89,gaussian,500
89,gaussian,1000
89,mixture,250
89,mixture,500
89,mixture,1000
89,skewnorm,250
89,skewnorm,500
89,skewnorm,1000
89,ptm,250
89,ptm,500
89,ptm,1000
90,gaussian,250
90,gaussian,500
90,gaussian,1000
90,mixture,250
90,mixture,500
90,mixture,1000
90,skewnorm,250
90,skewnorm,500
90,skewnorm,1000
90,ptm,250
90,ptm,500
90,ptm,1000
91,gaussian,250
91,gaussian,500
91,gaussian,1000
91,mixture,250
91,mixture,500
91,mixture,1000
91,skewnorm,250
91,skewnorm,500
91,skewnorm,1000
91,ptm,250
91,ptm,500
91,ptm,1000
92,gaussian,250
92,gaussian,500
92,gaussian,1000
92,mixture,250
92,mixture,500
92,mixture,1000
92,skewnorm,250
92,skewnorm,500
92,skewnorm,1000
92,ptm,250
92,ptm,500
92,ptm,1000
93,gaussian,250
93,gaussian,500
93,gaussian,1000
93,mixture,250
93,mixture,500
93,mixture,1000
93,skewnorm,250
93,skewnorm,500
93,skewnorm,1000
93,ptm,250
93,ptm,500
93,ptm,1000
94,gaussian,250
94,gaussian,500
94,gaussian,1000
94,mixture,250
94,mixture,500
94,mixture,1000
94,skewnorm,250
94,skewnorm,500
94,skewnorm,1000
94,ptm,250
94,ptm,500
94,ptm,1000
95,gaussian,250
95,gaussian,500
95,gaussian,1000
95,mixture,250
