waic,kld,log_score,crps,cdf_mad,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
907.9978725355364,0.09649683455863432,8863.88133455317,0.8401725591291137,0.11967456884017864,0.9382,0.3610126125755797,gaussian,98,ptm-iwls-nuts,250,5000,629.0061030387878,010j-ptm-iwls-nuts-ig1_005,20251213-155633,iwls-nuts,FALSE,1,0.005
1764.6169023794157,0.03836667372517276,8573.230530385865,0.812060407252464,0.07880527856328563,0.967,0.26295712817640626,gaussian,98,ptm-iwls-nuts,500,5000,768.1663129329681,010j-ptm-iwls-nuts-ig1_005,20251213-160108,iwls-nuts,FALSE,1,0.005
862.2021811505971,0.12387195704889248,9013.163288664464,0.8597591342049722,0.12614139871667868,0.867,0.3441355920801115,gaussian,99,ptm-iwls-nuts,250,5000,836.1844890117645,010j-ptm-iwls-nuts-ig1_005,20251213-160225,iwls-nuts,FALSE,1,0.005
1741.216468141262,0.073958372944988,8763.595368144941,0.8280043624400042,0.09486677305224411,0.8904,0.27132510198642024,gaussian,99,ptm-iwls-nuts,500,5000,889.411025762558,010j-ptm-iwls-nuts-ig1_005,20251213-160436,iwls-nuts,FALSE,0.01,0.01
847.0817937813948,0.09396692497793084,8773.349890709653,0.8143127665473583,0.1167503807848113,0.9528,0.36529914180727385,gaussian,100,ptm-iwls-nuts,250,5000,604.9758920669556,010j-ptm-iwls-nuts-ig1_005,20251213-160143,iwls-nuts,FALSE,0.01,0.01
1693.9190379449358,0.06466259083821893,8626.828220011095,0.8022198777828244,0.08903457066182249,0.9326,0.2706792107909469,gaussian,100,ptm-iwls-nuts,500,5000,844.7321829795837,010j-ptm-iwls-nuts-ig1_005,20251213-160739,iwls-nuts,FALSE,0.01,0.01
789.8739956807706,0.19773847693186547,8109.002234799047,0.8392701999254035,0.11410125880200692,0.9338,0.32259199897279417,mixture,1,ptm-iwls-nuts,250,5000,759.3778240680695,010j-ptm-iwls-nuts-ig1_005,20251213-100835,iwls-nuts,FALSE,0.01,0.01
1527.8256585831318,0.13040209259948707,7772.320313137156,0.8207149421877288,0.0793044379759185,0.832,0.20595321748039977,mixture,1,ptm-iwls-nuts,500,5000,1056.240885734558,010j-ptm-iwls-nuts-ig1_005,20251213-101835,iwls-nuts,FALSE,0.01,0.01
797.1546399033891,0.14954274002243018,7908.37493901565,0.8354868251286582,0.09638240457691494,0.9552,0.2922055728771478,mixture,2,ptm-iwls-nuts,250,5000,636.7124831676483,010j-ptm-iwls-nuts-ig1_005,20251213-101258,iwls-nuts,FALSE,1,0.005
1501.194661791866,0.06786829040832427,7500.002690945121,0.8173986356502788,0.06849004096401762,0.949,0.21004151330700793,mixture,2,ptm-iwls-nuts,500,5000,1139.0076177120209,010j-ptm-iwls-nuts-ig1_005,20251213-102154,iwls-nuts,FALSE,0.01,0.01
753.4701378166367,0.2303703032846429,8376.181235956514,0.8510624845104986,0.11146935273047624,0.8752,0.2903702372784503,mixture,3,ptm-iwls-nuts,250,5000,682.8861458301544,010j-ptm-iwls-nuts-ig1_005,20251213-102104,iwls-nuts,FALSE,0.01,0.01
1495.6700279953284,0.07138632115181438,7581.261325292371,0.8157946002953937,0.06630969207405278,0.9602,0.21446571273731188,mixture,3,ptm-iwls-nuts,500,5000,1196.2259802818298,010j-ptm-iwls-nuts-ig1_005,20251213-103518,iwls-nuts,FALSE,0.01,0.01
