kld_kde,kld_kde_floor,mad_kde,kld_gaussian,mad_gaussian,data,seed,nobs
Inf,0.10993336760026147,0.01722612523495154,0.11304105411642311,0.04187045321412984,ptm,2,50
0.07852226972778184,0.07852226972778184,0.059257079765008415,0.08666564455850886,0.07172148291736466,skewnorm,2,50
Inf,0.052543383098336956,0.029549394401258137,0.24217678140652935,0.06957783802069302,mixture,2,50
0.39542221196049876,0.39542221196049876,0.03530707660064643,0.6406919638464802,0.05307305232259736,u-shaped,2,50
0.09468164999473475,0.09468164999473475,0.02308768119012577,0.20528012940050416,0.027613375317580874,unif,2,50
0.07159218492140043,0.07159218492140043,0.047405116972687726,0.022322216134752465,0.024041394763688266,gaussian,2,100
Inf,0.1111195573066875,0.028074334038103207,0.11219473193416585,0.04164832538157098,ptm,2,100
Inf,0.05779860618177933,0.05224598409913978,0.0819056270932195,0.06612214559198422,skewnorm,2,100
Inf,0.1135150101294499,0.03968108937861601,0.24752129638443657,0.07163329333791937,mixture,2,100
0.33201968358076606,0.33201968358076606,0.03410763273485743,0.6379489550674359,0.05109231434244075,u-shaped,2,100
0.10294202951167733,0.10294202951167733,0.021115819825015817,0.20340226164428235,0.0303673908395281,unif,2,100
0.013157932808140387,0.013157932808140387,0.021028010912613474,0.0010390944233968065,0.017341227545416123,gaussian,2,500
Inf,0.03833399365998947,0.011446462961697991,0.1088756929680342,0.05070116898115583,ptm,2,500
Inf,0.029254863938053665,0.022774562171924535,0.06952456671423748,0.04522922178600311,skewnorm,2,500
Inf,0.02050832846369832,0.01129885693377101,0.23511598689082874,0.06282499627544817,mixture,2,500
0.22094323647095981,0.22094323647095981,0.026902971161783598,0.6302423591794972,0.056376647695323974,u-shaped,2,500
0.06234141376364453,0.06234141376364453,0.016139699140596025,0.20345669235396277,0.029134442097962326,unif,2,500
Inf,0.17347790908209146,0.09669695794067229,0.12536126913673237,0.09177246214791743,gaussian,3,25
Inf,0.4320836798055446,0.051817850879249366,0.2245939217255327,0.06851598859676572,ptm,3,25
Inf,0.20908103715755974,0.05710329552299795,0.17450402611342877,0.05245322970822566,skewnorm,3,25
0.13567069412969024,0.13567069412969024,0.04143049714503935,0.26193065682288563,0.055219993474899504,mixture,3,25
0.4576241996138278,0.4576241996138278,0.10377613790258987,0.6681744550375835,0.09477136799821537,u-shaped,3,25
0.1256331498929828,0.1256331498929828,0.05712838220194078,0.216592452109298,0.059762022146565216,unif,3,25
0.020552135464164106,0.020552135464164106,0.019789779623358976,0.011368165245317693,0.024630155662638886,gaussian,3,50
Inf,0.21176144220514836,0.04815682619099259,0.1883769824758875,0.08335258142860764,ptm,3,50
Inf,0.20202377940421473,0.02674855556434025,0.19341065642913002,0.03952170049797538,skewnorm,3,50
0.09959061523418582,0.09959061523418582,0.033859886114619354,0.24957729373297102,0.06624480476608839,mixture,3,50
