kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob
0.01809545849752078,0.02269792768861947,dummy-0q1kusfo,NA,NA,NA,NA,NA,NA,NA,NA
0.05832923140289817,0.03319155575860987,dummy-0r1m9gy3,NA,NA,NA,NA,NA,NA,NA,NA
0.0989431986937546,0.03942982020561015,dummy-0rjuuhaf,NA,NA,NA,NA,NA,NA,NA,NA
0.01543397691782479,0.03110047069114312,dummy-0rlue8el,NA,NA,NA,NA,NA,NA,NA,NA
0.0621926735421453,0.06756579774143008,dummy-0rpa1w9b,NA,NA,NA,NA,NA,NA,NA,NA
0.09391282747655498,0.035055958543746,dummy-0rw84kyb,NA,NA,NA,NA,NA,NA,NA,NA
0.18912995610962657,0.04469278182342077,dummy-0ryu1dnp,NA,NA,NA,NA,NA,NA,NA,NA
0.06555312191089555,0.05897589790585407,dummy-0rzelqid,NA,NA,NA,NA,NA,NA,NA,NA
0.1813184732513477,0.02015518928392672,dummy-0s0j74jc,NA,NA,NA,NA,NA,NA,NA,NA
0.0969012662571846,0.06444011021329729,dummy-0s38tlz0,NA,NA,NA,NA,NA,NA,NA,NA
0.02935997369979914,0.04234143389056089,dummy-0s4a5awi,NA,NA,NA,NA,NA,NA,NA,NA
0.12405513237312962,0.07771106682274721,dummy-0s82g80h,NA,NA,NA,NA,NA,NA,NA,NA
0.0392960927666398,0.04954818149358539,dummy-0sebeg6q,NA,NA,NA,NA,NA,NA,NA,NA
0.00493801046863323,0.01474371586132738,dummy-0sgnbhk7,NA,NA,NA,NA,NA,NA,NA,NA
0.11696518806848866,0.04777306332872787,dummy-0spqceq8,NA,NA,NA,NA,NA,NA,NA,NA
0.00477639188888492,0.01560664494218478,dummy-0t5r37wv,NA,NA,NA,NA,NA,NA,NA,NA
0.00543834372690711,0.01858040558787526,dummy-0tifbcn0,NA,NA,NA,NA,NA,NA,NA,NA
0.00524664182147369,0.02049115477887489,dummy-0tkif19c,NA,NA,NA,NA,NA,NA,NA,NA
