index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
626,prob,prob[24],"(24,)",2000,4.5741916011433177e-05,4.55830729257408e-12,2.1350192721786095e-06,0.9996577704278846,826.2645748738697,900.7611032442384,7.551646224902274e-08,7.500907746519352e-08,4.1045944386072345e-05,4.6587484362585054e-05,4.750923017830018e-05,4.251051720426123e-05,4.751641265922369e-05,-4.2,4.5741916011433177e-05
627,prob,prob[25],"(25,)",2000,4.7860613989528734e-05,1.4833289501027663e-11,3.851400978998118e-06,1.0003973208657977,1013.2973945235552,849.1087425597552,1.3524167933426926e-07,1.1279194998433828e-07,3.952482174701155e-05,4.9048506392992665e-05,5.171397104255104e-05,4.180503019633364e-05,5.1742683383039366e-05,-4.166666666666666,4.7860613989528734e-05
628,prob,prob[26],"(26,)",2000,4.9903258557298964e-05,4.2278997591780233e-11,6.502230201383232e-06,1.0009364488457997,1057.9977544728795,849.1087425597552,2.153250685505545e-07,1.5514252614815308e-07,3.690043327113396e-05,5.116311238857734e-05,5.8004615409160645e-05,3.998659896719999e-05,5.832222718531759e-05,-4.133333333333333,4.9903258557298964e-05
629,prob,prob[27],"(27,)",2000,5.186857933951909e-05,9.482351443431008e-11,9.737736617628866e-06,1.0016936036487358,1047.3803404597293,849.1087425597552,3.0901009813283e-07,2.039522420604987e-07,3.374962271732173e-05,5.2811292411484e-05,6.615160587411188e-05,3.7644741756608475e-05,6.837816742391355e-05,-4.1000000000000005,5.186857933951909e-05
630,prob,prob[28],"(28,)",2000,5.3760108470231664e-05,1.8268006654944806e-10,1.3515919004989933e-05,1.0015166449187651,1053.0316851426483,849.1087425597552,4.154300437483534e-07,2.6747227026184046e-07,3.010448817214449e-05,5.418967133901987e-05,7.501029928062612e-05,3.0852073091117606e-05,7.533090188965597e-05,-4.066666666666666,5.3760108470231664e-05
631,prob,prob[29],"(29,)",2000,5.558679564924494e-05,3.1903271593505787e-10,1.7861486946361936e-05,1.0015166449187651,1053.0316851426483,849.1087425597552,5.34859204933662e-07,3.524123674959806e-07,2.6008558070403714e-05,5.526544539586169e-05,8.492187317046499e-05,2.4390421442859664e-05,8.249344545178055e-05,-4.033333333333333,5.558679564924494e-05
632,prob,prob[30],"(30,)",2000,5.736361743809186e-05,5.210431406168343e-10,2.2826369413834393e-05,1.0015166449187651,1053.0316851426483,849.1087425597552,6.681243351498227e-07,4.695720923131859e-07,2.1515991459807408e-05,5.600804390980415e-05,9.599352382603606e-05,1.868315165400012e-05,9.135824430101422e-05,-4.0,5.736361743809186e-05
633,prob,prob[31],"(31,)",2000,5.911218801730645e-05,8.113429508008512e-10,2.848408241107393e-05,1.0015166449187651,1053.0316851426483,849.1087425597552,8.16546843629301e-07,6.318885303771577e-07,1.6690449969469184e-05,5.6389758087732784e-05,0.00010834117046392542,9.421091722626146e-06,9.694102327091249e-05,-3.9666666666666663,5.911218801730645e-05
634,prob,prob[32],"(32,)",2000,6.086138323536545e-05,1.2202525239669093e-09,3.4932113076178334e-05,1.0015166449187651,1053.0316851426483,849.1087425597552,9.820311890359248e-07,8.513374491200247e-07,1.1603672714836092e-05,5.6386343169188716e-05,0.0001220899236378654,3.821084246210567e-06,0.00010685824365564256,-3.933333333333333,6.086138323536545e-05
635,prob,prob[33],"(33,)",2000,6.538914648897054e-05,1.5776669313367245e-09,3.971985563086458e-05,1.0016332579378997,1044.5983365128936,841.6573293980465,1.1045090476582605e-06,1.0268577959907481e-06,1.1614299325193162e-05,5.9822581188002805e-05,0.00013601476952689148,2.539175425840121e-06,0.00011684036585047639,-3.9,6.538914648897054e-05
636,prob,prob[34],"(34,)",2000,7.055389307376902e-05,1.997252118049848e-09,4.469062673592582e-05,1.0015052155211992,1033.671032862227,848.8848256964567,1.232443233492336e-06,1.2158032253681354e-06,1.1973734745458413e-05,6.357764865027647e-05,0.00015149153866318425,2.408162275080746e-06,0.0001280311514690059,-3.866666666666667,7.055389307376902e-05
637,prob,prob[35],"(35,)",2000,7.610539188936013e-05,2.5127550319020074e-09,5.012738804188791e-05,1.0015636962730545,1023.2194764866716,864.3595632092903,1.3740792958015918e-06,1.431119244155751e-06,1.2238256366514965e-05,6.702435012346649e-05,0.0001680197297202287,1.4339046036582782e-06,0.00014000441833695478,-3.833333333333333,7.610539188936013e-05
638,prob,prob[36],"(36,)",2000,8.207309705539925e-05,3.1437993401440674e-09,5.606959372194583e-05,1.0014777251929545,1009.4995947626212,841.363768056031,1.5304122813675528e-06,1.6767630627064217e-06,1.2969530379770656e-05,7.148370946083853e-05,0.00018949886654955316,1.400352942298779e-06,0.00015361028443336305,-3.8,8.207309705539925e-05
639,prob,prob[37],"(37,)",2000,8.849041499093532e-05,3.914112892151677e-09,6.256287151459464e-05,1.001503991236383,998.7249911825687,835.3870872342876,1.7024517537944352e-06,1.9568606779937414e-06,1.3473265999219712e-05,7.546110523964222e-05,0.00020992530849408525,6.951094272837838e-07,0.00016763373962045962,-3.7666666666666666,8.849041499093532e-05
640,prob,prob[38],"(38,)",2000,9.539194203585424e-05,4.8517350641216226e-09,6.965439730642727e-05,1.001405502358333,983.958062370875,842.589852942191,1.8911162114226345e-06,2.275321982375568e-06,1.3775319339111823e-05,7.969079457798183e-05,0.00023275302945343347,7.31640980678419e-07,0.00018253869030127043,-3.7333333333333334,9.539194203585424e-05
641,prob,prob[39],"(39,)",2000,0.0001028200240652023,5.990283983329466e-09,7.73969248958217e-05,1.0012977542561607,969.5971833466471,820.4214600743968,2.0973823857402174e-06,2.6362239269564243e-06,1.4660724997236603e-05,8.493627693106029e-05,0.00025609383149680884,1.4300083493331008e-06,0.00019864147518435448,-3.7,0.0001028200240652023
642,prob,prob[40],"(40,)",2000,0.00011081464222475744,7.3684122331678135e-09,8.583945615605805e-05,1.00126659484866,955.0946325443323,757.8567833969213,2.3220789472433332e-06,3.0439605179899166e-06,1.5139172452197044e-05,8.994333072182933e-05,0.0002789871635776186,1.6700966920415099e-06,0.0002173722606007441,-3.666666666666667,0.00011081464222475744
