index,variable,var_fqn,var_index,sample_size,mean,var,sd,rhat,ess_bulk,ess_tail,mcse_mean,mcse_sd,q_0.05,q_0.5,q_0.95,hdi_low,hdi_high,y,pdf
650,prob,prob[48],"(48,)",2000,0.0004592229003921247,1.464523891563565e-07,0.00038269098389739534,1.0053965847490391,904.7495777576062,659.0172734403204,1.1323174480125211e-05,5.8539377640189915e-05,9.992038342905952e-05,0.0003854671241185784,0.0010436792607733574,2.6279685423071243e-05,0.0008380834682107413,-3.4,0.0004592229003921247
651,prob,prob[49],"(49,)",2000,0.00049735251780556,1.7218212708599702e-07,0.0004149483426717078,1.0055749575361965,891.7201277381337,711.5094985838867,1.2281119637816138e-05,6.298298959585032e-05,0.00010347779449029598,0.0004157215942572648,0.0011390294708884159,2.61593104558106e-05,0.0009109851597606836,-3.3666666666666667,0.00049735251780556
652,prob,prob[50],"(50,)",2000,0.0005379352156712929,1.9803312597174287e-07,0.0004450091302116653,1.005620913750376,881.8735479907061,635.3403213550355,1.3173381233606797e-05,6.549668252969689e-05,0.00011091989036168274,0.000448023035255071,0.001221507126205112,2.2182608644466514e-05,0.0009742079226745419,-3.3333333333333335,0.0005379352156712929
653,prob,prob[51],"(51,)",2000,0.0005811876235247168,2.238387621617901e-07,0.0004731160134277745,1.0056209221236863,871.9076072447666,602.3768089240699,1.4007720855984142e-05,6.58382258666922e-05,0.00011754339718864797,0.0004849929931576776,0.0013068818698702635,2.2257093741132702e-05,0.001065325537996905,-3.3,0.0005811876235247168
654,prob,prob[52],"(52,)",2000,0.0006274296633303543,2.512095429765988e-07,0.0005012080835108296,1.0056329392292762,863.1218832611675,602.3170518399602,1.4840996645998224e-05,6.451608652537759e-05,0.0001248262172968311,0.0005277442047462017,0.001424734940449707,2.8411923298661792e-05,0.001166680043540338,-3.2666666666666666,0.0006274296633303543
655,prob,prob[53],"(53,)",2000,0.0006769853010767883,2.8090970885363265e-07,0.0005300091592167371,1.0056901710988844,850.7759087505872,569.4026091366609,1.569645544143285e-05,6.168123122348642e-05,0.00013067372875800483,0.0005701416859206035,0.0015377762017841714,2.5921587151890877e-05,0.0012490961300877465,-3.2333333333333334,0.0006769853010767883
656,prob,prob[54],"(54,)",2000,0.0007301864494615713,3.139763291394441e-07,0.0005603359074157608,1.0057686611948327,834.4122192521277,572.9961090360518,1.6600710991381493e-05,5.759303370917311e-05,0.00013687856213419726,0.000614769482608795,0.0016716153898726587,2.793467743313281e-05,0.0013661347199192143,-3.1999999999999997,0.0007301864494615713
657,prob,prob[55],"(55,)",2000,0.0007874193559777033,3.517625244312293e-07,0.0005930957127068357,1.005806059277915,819.5662660473561,565.5004026716246,1.7583912136515466e-05,5.262068258881723e-05,0.00014300982203471397,0.0006609791932103792,0.0018007937178347918,2.925695328185232e-05,0.0014757015385237601,-3.1666666666666665,0.0007874193559777033
658,prob,prob[56],"(56,)",2000,0.0008490441641942231,3.9588245934061947e-07,0.0006291919097863699,1.0058650404082705,793.5641153528569,606.1862900357575,1.8672305890507978e-05,4.7222833303524636e-05,0.0001539219216944596,0.000708710150874362,0.001956314429474656,3.658031061168074e-05,0.0016025491259670918,-3.1333333333333333,0.0008490441641942231
659,prob,prob[57],"(57,)",2000,0.0009154345595645672,4.481359841847987e-07,0.0006694295961374868,1.005959406057109,773.8134821575601,650.9516931958868,1.9905610452904135e-05,4.1900678223233775e-05,0.00015981392740844637,0.0007625976782480437,0.0021118332816019614,3.8626975388108416e-05,0.0017482284061618193,-3.0999999999999996,0.0009154345595645672
660,prob,prob[58],"(58,)",2000,0.0009869595720472016,5.104343831965392e-07,0.0007144469071922274,1.006039650234324,756.82720368804,634.9734131974681,2.130207696049568e-05,3.715189447663926e-05,0.00016516265755262083,0.0008214080577741427,0.0022919203031916188,2.7842445333181954e-05,0.0018700160189695644,-3.0666666666666664,0.0009869595720472016
661,prob,prob[59],"(59,)",2000,0.0010639569417359484,5.846596342033551e-07,0.0007646303905831595,1.006140771785931,744.1250928427393,610.3963027306734,2.2913510401874044e-05,3.3410318372458564e-05,0.00017538237586294545,0.0008837756432046645,0.002460962880957734,2.8034094298090444e-05,0.0020414175008909782,-3.033333333333333,0.0010639569417359484
662,prob,prob[60],"(60,)",2000,0.0011468020273352755,6.72691524286541e-07,0.0008201777394483107,1.0063469308196353,726.1399966906515,616.3457578093316,2.4707416952295087e-05,3.0948209997223436e-05,0.00018471932621332137,0.0009572252752379276,0.0026699459834007623,4.4858632231119416e-05,0.0022215891255451636,-2.9999999999999996,0.0011468020273352755
663,prob,prob[61],"(61,)",2000,0.0012357938825115246,7.761391819244342e-07,0.0008809876173502294,1.0065129324431767,714.7726170882092,587.8272221832021,2.671128801216024e-05,2.9814043369767948e-05,0.00019642491554925487,0.0010414616766832555,0.002875809217744455,3.754985033542937e-05,0.0024180447349251176,-2.966666666666667,0.0012357938825115246
664,prob,prob[62],"(62,)",2000,0.0013312245201972106,8.963149131657179e-07,0.0009467390945586423,1.006693804247917,700.4135211165484,611.2599287160353,2.8919859343268327e-05,2.9817076997571553e-05,0.00020569775684765792,0.00112136813784618,0.0030808899266003445,4.228269676066445e-05,0.0026203753213115974,-2.9333333333333336,0.0013312245201972106
665,prob,prob[63],"(63,)",2000,0.0014333334513851924,1.0340222209774592e-06,0.001016868831746484,1.0069311455537255,685.4772050539653,593.6567082530041,3.1325925932295276e-05,3.061906651460106e-05,0.0002174354281265417,0.0012082362244186502,0.003343213624215306,3.845235379268513e-05,0.002805055151688842,-2.9000000000000004,0.0014333334513851924
