kernel,error_code,error_msg,phase,count,relative,data_type,data_seed,model,ntrain,ntest,job,run,index,mcmc_strategy,apply_jitter
kernel_00,1,divergent transition,posterior,147,0.0073499996215105,gaussian,12,bctm-locshift,1000,5000,004-bctm-locshift,20250904-100428,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3164,0.1581999957561493,gaussian,12,bctm-locshift,1000,5000,004-bctm-locshift,20250904-100428,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2383,0.11914999783039092,gaussian,12,bctm-locshift,1000,5000,004-bctm-locshift,20250904-100428,NA,NA,NA
kernel_00,1,divergent transition,warmup,136,0.00679999962449073,gaussian,12,bctm-locshift,250,5000,004-bctm-locshift,20250904-093546,NA,NA,NA
kernel_00,1,divergent transition,posterior,59,0.002949999878183,gaussian,12,bctm-locshift,250,5000,004-bctm-locshift,20250904-093546,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4340,0.21700000762939453,gaussian,12,bctm-locshift,250,5000,004-bctm-locshift,20250904-093546,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3087,0.15434998273849487,gaussian,12,bctm-locshift,250,5000,004-bctm-locshift,20250904-093546,NA,NA,NA
kernel_00,1,divergent transition,warmup,163,0.00815000012516975,gaussian,12,bctm-locshift,500,5000,004-bctm-locshift,20250904-095639,NA,NA,NA
kernel_00,1,divergent transition,posterior,214,0.01070000045001506,gaussian,12,bctm-locshift,500,5000,004-bctm-locshift,20250904-095639,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3642,0.1820999979972839,gaussian,12,bctm-locshift,500,5000,004-bctm-locshift,20250904-095639,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2613,0.13064999878406525,gaussian,12,bctm-locshift,500,5000,004-bctm-locshift,20250904-095639,NA,NA,NA
kernel_00,1,divergent transition,warmup,114,0.00570000009611249,gaussian,13,bctm-locshift,1000,5000,004-bctm-locshift,20250904-101942,NA,NA,NA
kernel_00,1,divergent transition,posterior,52,0.00260000000707805,gaussian,13,bctm-locshift,1000,5000,004-bctm-locshift,20250904-101942,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3230,0.1615000069141388,gaussian,13,bctm-locshift,1000,5000,004-bctm-locshift,20250904-101942,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2412,0.12060000002384186,gaussian,13,bctm-locshift,1000,5000,004-bctm-locshift,20250904-101942,NA,NA,NA
kernel_00,1,divergent transition,warmup,142,0.0071000000461936,gaussian,13,bctm-locshift,250,5000,004-bctm-locshift,20250904-105743,NA,NA,NA
kernel_00,1,divergent transition,posterior,278,0.01390000060200691,gaussian,13,bctm-locshift,250,5000,004-bctm-locshift,20250904-105743,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4416,0.2207999974489212,gaussian,13,bctm-locshift,250,5000,004-bctm-locshift,20250904-105743,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2911,0.14554999768733978,gaussian,13,bctm-locshift,250,5000,004-bctm-locshift,20250904-105743,NA,NA,NA
kernel_00,1,divergent transition,warmup,112,0.00560000026598572,gaussian,13,bctm-locshift,500,5000,004-bctm-locshift,20250904-094815,NA,NA,NA
kernel_00,1,divergent transition,posterior,135,0.00674999970942735,gaussian,13,bctm-locshift,500,5000,004-bctm-locshift,20250904-094815,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3076,0.15380001068115234,gaussian,13,bctm-locshift,500,5000,004-bctm-locshift,20250904-094815,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,2792,0.13960000872612,gaussian,13,bctm-locshift,500,5000,004-bctm-locshift,20250904-094815,NA,NA,NA
kernel_00,1,divergent transition,warmup,99,0.00494999997317791,gaussian,14,bctm-locshift,1000,5000,004-bctm-locshift,20250904-111453,NA,NA,NA
kernel_00,1,divergent transition,posterior,31,0.00155000004451721,gaussian,14,bctm-locshift,1000,5000,004-bctm-locshift,20250904-111453,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3488,0.17440000176429749,gaussian,14,bctm-locshift,1000,5000,004-bctm-locshift,20250904-111453,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,3054,0.1527000069618225,gaussian,14,bctm-locshift,1000,5000,004-bctm-locshift,20250904-111453,NA,NA,NA
kernel_00,1,divergent transition,warmup,108,0.00540000014007091,gaussian,14,bctm-locshift,250,5000,004-bctm-locshift,20250904-095946,NA,NA,NA
kernel_00,1,divergent transition,posterior,53,0.00264999968931078,gaussian,14,bctm-locshift,250,5000,004-bctm-locshift,20250904-095946,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4727,0.23634999990463257,gaussian,14,bctm-locshift,250,5000,004-bctm-locshift,20250904-095946,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4816,0.24079999327659607,gaussian,14,bctm-locshift,250,5000,004-bctm-locshift,20250904-095946,NA,NA,NA
kernel_00,1,divergent transition,warmup,171,0.00855000037699937,gaussian,14,bctm-locshift,500,5000,004-bctm-locshift,20250904-103838,NA,NA,NA
kernel_00,1,divergent transition,posterior,212,0.0106000006198883,gaussian,14,bctm-locshift,500,5000,004-bctm-locshift,20250904-103838,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,7034,0.35169997811317444,gaussian,14,bctm-locshift,500,5000,004-bctm-locshift,20250904-103838,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,6223,0.3111500144004822,gaussian,14,bctm-locshift,500,5000,004-bctm-locshift,20250904-103838,NA,NA,NA
kernel_00,1,divergent transition,warmup,115,0.00575000001117587,gaussian,15,bctm-locshift,1000,5000,004-bctm-locshift,20250904-104400,NA,NA,NA
kernel_00,1,divergent transition,posterior,55,0.00274999998509883,gaussian,15,bctm-locshift,1000,5000,004-bctm-locshift,20250904-104400,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,4962,0.24809999763965607,gaussian,15,bctm-locshift,1000,5000,004-bctm-locshift,20250904-104400,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,5434,0.271699994802475,gaussian,15,bctm-locshift,1000,5000,004-bctm-locshift,20250904-104400,NA,NA,NA
kernel_00,1,divergent transition,warmup,135,0.00674999970942735,gaussian,15,bctm-locshift,250,5000,004-bctm-locshift,20250904-095907,NA,NA,NA
kernel_00,1,divergent transition,posterior,128,0.0063999998383224,gaussian,15,bctm-locshift,250,5000,004-bctm-locshift,20250904-095907,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,5295,0.26475000381469727,gaussian,15,bctm-locshift,250,5000,004-bctm-locshift,20250904-095907,NA,NA,NA
kernel_00,2,maximum tree depth,posterior,4858,0.24289999902248385,gaussian,15,bctm-locshift,250,5000,004-bctm-locshift,20250904-095907,NA,NA,NA
kernel_00,1,divergent transition,warmup,97,0.00485000014305114,gaussian,15,bctm-locshift,500,5000,004-bctm-locshift,20250904-102311,NA,NA,NA
kernel_00,1,divergent transition,posterior,41,0.00205000001005828,gaussian,15,bctm-locshift,500,5000,004-bctm-locshift,20250904-102311,NA,NA,NA
kernel_00,2,maximum tree depth,warmup,3630,0.1814999878406525,gaussian,15,bctm-locshift,500,5000,004-bctm-locshift,20250904-102311,NA,NA,NA
