xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,job,run,mcmc_strategy,apply_jitter,ig_a,ig_b
3,6.88338275267597e-18,0.0207893097818805,0.03555661888349244,0.92200005,0.466183388552222,scale,gaussian,3,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101234,iwls-nuts,FALSE,0.01,0.01
0,-4.918287999089443e-17,0.01611581486931401,0.02949182985829249,0.92200005,0.4044572117875859,loc,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
1,-7.482903185973556e-17,0.01941822109956712,0.05197722389967952,0.85400003,0.4380067838386624,loc,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
2,-3.219646771412954e-17,0.05010641281821365,0.06368128087355737,1,0.6904349944558463,loc,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
3,-1.3666845433135678e-16,0.0271515509583773,0.05323639774861759,0.846,0.531335297922504,loc,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
0,2.80331313717852e-18,0.00799560330851425,0.01073950534973622,1,0.2874349410726266,scale,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
1,-2.1094237467877974e-18,0.00778147960972064,0.01318341083428905,1,0.2831856728183423,scale,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
2,3.3306690738754695e-18,0.00937682012204617,0.01595903322935489,1,0.3117598776250716,scale,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
3,5.689893001203928e-18,0.00788922027934878,0.01779756524878172,0.86800003,0.28651510915135503,scale,gaussian,3,ptm-iwls-nuts,500,5000,010j-ptm-iwls-nuts-ig1_005,20251213-101634,iwls-nuts,FALSE,1,0.005
0,-3.241851231905457e-17,0.04177559996396386,0.07100205508996839,0.896,0.6333698306682534,loc,gaussian,4,ptm-iwls-nuts,250,5000,010j-ptm-iwls-nuts-ig1_005,20251213-103000,iwls-nuts,FALSE,0.01,0.01
