variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
s(x0)_coef,12986.299012432724,17157.842639164308,15116.863811339112,16566.546095027217,1.0005185156933645,1.0000334001460358,4373.87893462313,5091.4684868015165,5778.884839412061,5579.731909386296,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x0)_variance,8428.756844842941,8428.756844842941,11315.556370876442,11315.556370876442,0.999951302070991,0.999951302070991,2838.865944286684,3811.160793135435,2838.865944286684,3811.160793135435,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x1)_coef,9329.859738385185,16590.871027578596,12797.661462391778,15439.03007221138,1.0003762734939634,1.0001611974565772,3142.363881629653,4310.344450655595,5587.924721670284,5199.976401221665,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x1)_variance,6506.2613582749955,6506.2613582749955,10163.312913779384,10163.312913779384,1.0003702835656558,1.0003702835656558,2191.3556334154136,3423.0769072084895,2191.3556334154136,3423.0769072084895,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x2)_coef,14534.619310730634,15863.819728215129,17174.243940028082,18191.473168679793,1.0003984933839356,1.0001318312569605,4895.364350159238,5784.408915538739,5343.048613424836,6127.019037993418,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x2)_variance,15474.772830137015,15474.772830137015,18447.527631979607,18447.527631979607,1.0000343622831571,1.0000343622831571,5212.01481923488,6213.260023363544,5212.01481923488,6213.260023363544,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x3)_coef,13011.460505589486,16377.99636496889,16004.460276979537,18066.991524589605,1.0004091685979293,1.0001510483845095,4382.353506537474,5390.417362057957,5516.227003820711,6085.092724706463,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
s(x3)_variance,13003.779303293935,13003.779303293935,17357.515069395933,17357.515069395933,0.9999953287361408,0.9999953287361408,4379.766422343514,5846.135950415974,4379.766422343514,5846.135950415974,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
scale_intercept,17211.616824348777,17211.616824348777,19515.668206015267,19515.668206015267,1.0000612504785638,1.0000612504785638,5796.996371849417,6573.017453214656,5796.996371849417,6573.017453214656,ptm,24,gaussian-iwls,250,5000,007-gaussian,20250903-201424,NA,NA,NA,NA,NA
g(x0)_coef,6711.960174796324,15471.825631859065,8939.152744101093,13066.99316094464,1.0003983326875052,1.0000776049001208,1382.8341605657686,1841.6923609701437,3187.5887896937656,2692.132260659881,ptm,24,gaussian-iwls,500,5000,007-gaussian,20250903-184551,NA,NA,NA,NA,NA
