waic,kld,log_score,cdf_mad,crps,cdf_ci_coverage,cdf_ci_width,data_type,data_seed,model,ntrain,ntest,fit_seconds,run,job,kld_manual,log_score_manual,bootstrap_seconds,mcmc_strategy,apply_jitter
220393478.7452568,42.93665495566529,222774.86344184645,0.500017890880124,11798530659574457e59,0.0304,0.03050340887514625,ptm,14,ptm-iwls-nuts,1000,5000,1350.2000739574432,20250905-203427,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
60474186.25361785,2.1081361955734725,18632.269641387364,0.4180021108212599,17470975428980514e51,0.8402,0.6235733109091497,ptm,14,ptm-iwls-nuts,250,5000,719.3145916461945,20250905-182438,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
106750066.41233844,50.8966969683319,262575.07350517943,0.5008908181079857,1469295165911243e60,0.0244,0.02467173491780973,ptm,14,ptm-iwls-nuts,500,5000,637.4200794696808,20250905-231411,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
307042103.89223886,1.4220163695341304,15133.73728406765,0.3890941511828324,1947787658451885e98,0.9982,0.9959510584531054,ptm,15,ptm-iwls-nuts,1000,5000,1574.101851940155,20250905-211956,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
71335302.68953721,1.4985302584649034,15516.306728721514,0.40291812580630193,25327431809857613e76,0.9998,0.9945868489862209,ptm,15,ptm-iwls-nuts,250,5000,606.8680498600006,20250906-005755,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
150123150.8880274,1.4743829952601284,15395.570412697638,0.39702962375878387,10992302385822413e89,0.9976,0.9963569587896122,ptm,15,ptm-iwls-nuts,500,5000,1525.4022533893583,20250905-193826,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
237204176.15120217,52.01219411220283,268342.3556713891,0.5001593110601057,10190309453049482e43,0.9988,0.998738824939557,ptm,16,ptm-iwls-nuts,1000,5000,1330.8727979660034,20250905-202348,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
63609020.63503021,1.5133318776336673,15848.04449854334,0.4047412810533257,34125671613066004e36,1,0.9983303028496836,ptm,16,ptm-iwls-nuts,250,5000,761.6253528594971,20250905-204439,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
84111768.2943084,51.587763347504904,266220.20184789953,0.5001840350386336,2002724682439604e41,1,0.9999687059102336,ptm,16,ptm-iwls-nuts,500,5000,736.5970890522003,20250905-212510,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
239436797.41455248,1.5514748227213997,15323.053121265595,0.39986814811238086,46696572168357896e88,0.782,0.6076183491493329,ptm,17,ptm-iwls-nuts,1000,5000,3114.757244825363,20250905-204724,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
59503261.05879896,1.6290100578251134,15710.729296784166,0.4157713556711173,573752077866874e91,0.846,0.638042204171506,ptm,17,ptm-iwls-nuts,250,5000,750.2635915279388,20250905-215523,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
114034380.99834464,68.50644633734917,350097.9106944045,0.44729978821564575,45729837345515645e87,0.549,0.5472322874390244,ptm,17,ptm-iwls-nuts,500,5000,816.3440389633179,20250905-194713,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
185139142.48670912,109.69815456833274,556790.5251362736,0.5011670346187901,20513518765314006e99,1,0.9999371079005984,ptm,18,ptm-iwls-nuts,1000,5000,820.1305794715881,20250905-222304,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
964.269648899159,0.08921171357744823,9492.05123623724,0.10308769257977972,0.9971448573697268,0.9556,0.31865666866040016,ptm,18,ptm-iwls-nuts,250,5000,657.9539089202881,20250831-065147,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
99536588.44804268,109.42187481252635,555409.1263572418,0.500988896895143,9930715567351768e104,0.9838,0.9837393710965188,ptm,18,ptm-iwls-nuts,500,5000,7782.163651704788,20250906-005213,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
309779024.5599909,1.4230893731268328,15340.811050616165,0.33183979942294534,25890319502517963e64,0.9306,0.6988884838471138,ptm,19,ptm-iwls-nuts,1000,5000,1650.1702206134796,20250905-214148,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
59580685.11022899,1.4754825824358926,15602.777097161466,0.40146607519337424,4303350237566856e56,0.9002,0.6328263077495307,ptm,19,ptm-iwls-nuts,250,5000,4583.981607675552,20250905-223702,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
143332549.28688398,1.4502987117737671,15476.857743850838,0.3967577214076445,2859546066676534e59,0.9982,0.9984198243472466,ptm,19,ptm-iwls-nuts,500,5000,890.5296564102173,20250905-225810,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
239744408.1868101,85.8218040215889,437201.8548467946,0.49983215328646174,1158554631006183e57,1,0.9999373358152096,ptm,20,ptm-iwls-nuts,1000,5000,13674.063710212708,20250906-004646,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
64123590.89342446,51.03655564350644,263275.61295638233,0.502712022632925,4842047425175099e56,0.975,0.9749528785460568,ptm,20,ptm-iwls-nuts,250,5000,4494.662385225296,20250905-220701,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
1751.226390165769,0.05128862826026848,8634.460770442342,0.07782668259355538,0.8534156313731321,0.9328,0.23508021467647996,ptm,20,ptm-iwls-nuts,500,5000,807.8426637649536,20250831-080743,009-ptm-jitter,NA,NA,NA,iwls-nuts,NA
191758473.11313775,98.25478424258831,499625.4342995314,0.4979882819190799,5082109143091559e58,0.9932,0.9930990511145804,ptm,21,ptm-iwls-nuts,1000,5000,14085.738233327866,20250906-112555,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
45108169.40806318,99.38109288660031,505256.9775195916,0.4986419317271109,361364047747057e60,0.996,0.9959339420894268,ptm,21,ptm-iwls-nuts,250,5000,366.3960540294647,20250906-021424,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
88687625.2529255,101.8988227924298,517845.627048739,0.4984699810439233,15203155399283203e51,0.997,0.9969618259704722,ptm,21,ptm-iwls-nuts,500,5000,490.63961720466614,20250905-222742,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
183277758.8661068,117.9401459773807,598013.9700570393,0.500171205930178,7943866388408745e75,0.9948,0.9947063391995314,ptm,22,ptm-iwls-nuts,1000,5000,798.7486021518707,20250906-075431,009-ptm-jitter,NA,NA,NA,iwls-nuts,TRUE
