xnum,bias,var,mse,ci_coverage,ci_width,parameter,data_type,data_seed,model,ntrain,ntest,run,job,mcmc_strategy,apply_jitter
2,4.433919522049227e-17,0.10395887566460243,0.17711473001842937,0.99,1.0343180597156982,loc,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
3,-1.124927155188767e-17,0.07540283484472514,0.11649978115517554,0.956,0.8675286898055007,loc,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
0,3.592296002764145e-18,1.111978955535515e-31,0.01348398986920854,0,1.0010423046047377e-15,scale,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
1,-4.9726765493212725e-19,2.3069799433009254e-31,0.02001907131326006,0,1.378910874372252e-15,scale,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
2,1.0314846488520177e-19,2.547624171872321e-31,0.07955466310951585,0,1.4161616324059877e-15,scale,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
3,8.179071207930114e-19,2.9099839235792655e-32,0.04695696184937219,0,4.0525360844867443e-16,scale,gaussian,4,ddpstar,250,1000,20250815-071830,001-ddpstar,NA,NA
0,4.641014275540781e-17,0.01120298724127899,0.01352237920193152,1,0.33067329689117325,loc,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
1,4.4206209240769727e-17,0.01751388423133342,0.04258644473606442,0.947,0.42080905731805246,loc,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
2,3.6062403063752414e-17,0.04528704302501003,0.081848633962003,0.877,0.6745971710291019,loc,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
3,-2.070001324574559e-17,0.03453616045544549,0.05001864480331851,1,0.5870999245464598,loc,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
0,2.3858017657466782e-18,0.00248691949142208,0.00392461205777482,1,0.15626679063693746,scale,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
1,-2.209702147822068e-18,0.00381711400175523,0.0083423215338586,0.91,0.1933767460298396,scale,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
2,-6.645810746337686e-18,0.01092061983171743,0.03595888236827994,0.643,0.3303783211289964,scale,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
3,3.743907265732367e-18,0.00729293917917543,0.02669426178189231,0.624,0.26309454380654,scale,gaussian,4,ddpstar,500,1000,20250815-074842,001-ddpstar,NA,NA
0,-3.29055425982609e-17,0.00657301602725969,0.00994043576835561,1,0.2562974540376055,loc,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
1,1.0767618025507575e-16,0.01170103567013232,0.01327639303649303,1,0.33770940577619696,loc,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
2,-2.3069888420391622e-17,0.03048005185664928,0.05150430035500249,0.978,0.5511094110010897,loc,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
3,4.518868054271054e-17,0.02020966855933429,0.0310204312839612,0.96,0.45309966468488794,loc,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
0,1.1039489047657998e-18,0.00141801056802832,0.00300106725110776,1,0.11748040567231222,scale,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
1,2.406058344098585e-18,0.00307763139837626,0.00637264294625806,0.984,0.17441093769590593,scale,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
2,4.9307792730190095e-18,0.00557451426518742,0.02122393556373999,0.661,0.23656419259839653,scale,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
3,1.2248532808671608e-18,0.00348045577258805,0.01528716590692401,0.475,0.18441480405919755,scale,gaussian,5,ddpstar,1000,1000,20250815-082249,001-ddpstar,NA,NA
0,-1.8983622612065975e-17,0.02385191545885648,0.02945007963793761,1,0.4848779620999315,loc,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
1,1.0155404313345652e-16,0.03916445555697158,0.04871067186445869,1,0.6194466785673387,loc,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
2,-1.3166487485786331e-17,0.08574301273366211,0.227632339582294,0.748,0.9161653296153018,loc,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
3,4.1760253047287756e-17,0.07473939421527864,0.08923905974808481,1,0.8512664034533421,loc,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
0,8.592423737941122e-18,0.00487155301598624,0.01788606836753117,0.726,0.21313861236716172,scale,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
1,9.171369718362354e-18,0.00595459879221417,0.01014983554706946,1,0.2277294607423023,scale,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
2,-2.1694816805297355e-18,0.00636852718287807,0.04332883730242987,0.465,0.24898382040854447,scale,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
3,1.8282651868123387e-18,0.00754847896752329,0.04435188906063542,0.275,0.26323341591575217,scale,gaussian,5,ddpstar,250,1000,20250815-073359,001-ddpstar,NA,NA
0,-4.5104634195445237e-17,0.01527512365385019,0.01970668331705816,1,0.3859548426198423,loc,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
1,1.0233395294351187e-16,0.01930159490564505,0.02313395047336209,1,0.43427650582739663,loc,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
2,-4.400689520544139e-18,0.05124215626295524,0.16053374964313483,0.768,0.7214919191201346,loc,gaussian,5,ddpstar,500,1000,20250815-073502,001-ddpstar,NA,NA
