index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,68,0.0034,dummy-0aksi9c4,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,58,0.00145,dummy-0aksi9c4,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,45,0.00225,dummy-0aksi9c4,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0aksi9c4,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0aksi9c4,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0aksi9c4,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,84,0.0042,dummy-0bmvj29z,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,379,0.009475,dummy-0bmvj29z,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,4,2e-4,dummy-0bmvj29z,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0bmvj29z,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,84,0.0042,dummy-0bmvj29z,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,379,0.009475,dummy-0bmvj29z,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,4,2e-4,dummy-0bmvj29z,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0bmvj29z,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0bmvj29z,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0bmvj29z,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,58,0.0029,dummy-0bobl69g,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,66,0.00165,dummy-0bobl69g,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,6,3e-4,dummy-0bobl69g,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0bobl69g,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,58,0.0029,dummy-0bobl69g,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,66,0.00165,dummy-0bobl69g,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,6,3e-4,dummy-0bobl69g,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-0bobl69g,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-0bobl69g,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-0bobl69g,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,60,0.003,dummy-0boglk8w,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,49,0.001225,dummy-0boglk8w,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,11,5.5e-4,dummy-0boglk8w,ptm
