index,variable,kernel,error_code,error_msg,phase,count,relative,run,model
0,trafo0_scale_square_transformed,kernel_00,3,divergent transition + maximum tree depth,posterior,1,2.5e-5,dummy-01otzo0l,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-01otzo0l,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-01otzo0l,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,57,0.00285,dummy-022zlg99,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,22,5.5e-4,dummy-022zlg99,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,20,0.001,dummy-022zlg99,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-022zlg99,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,57,0.00285,dummy-022zlg99,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,22,5.5e-4,dummy-022zlg99,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,20,0.001,dummy-022zlg99,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-022zlg99,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-022zlg99,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-022zlg99,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,75,0.00375,dummy-038vu0mi,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,82,0.00204999999999999,dummy-038vu0mi,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,3,1.5e-4,dummy-038vu0mi,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-038vu0mi,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,warmup,75,0.00375,dummy-038vu0mi,ptm
0,trafo0_scale_square_transformed,kernel_00,1,divergent transition,posterior,82,0.00204999999999999,dummy-038vu0mi,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,warmup,3,1.5e-4,dummy-038vu0mi,ptm
0,trafo0_scale_square_transformed,kernel_00,2,maximum tree depth,posterior,0,0,dummy-038vu0mi,ptm
0,scale_intercept,kernel_01,NA,NA,NA,NA,NA,dummy-038vu0mi,ptm
0,loc_intercept,kernel_02,NA,NA,NA,NA,NA,dummy-038vu0mi,ptm
0,trafo0_latent,kernel_00,1,divergent transition,warmup,31,0.00155,dummy-039rf2mi,ptm
0,trafo0_latent,kernel_00,1,divergent transition,posterior,0,0,dummy-039rf2mi,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,warmup,62,0.0031,dummy-039rf2mi,ptm
0,trafo0_latent,kernel_00,2,maximum tree depth,posterior,0,0,dummy-039rf2mi,ptm
