kld_test,mad_test,run,in_hdi_cdf,in_hdi_prob,in_ci_cdf,in_ci_prob,width_hdi_cdf,width_hdi_prob,width_ci_cdf,width_ci_prob,model
0.28971601698285115,0.04045798390249856,dummy-jxk6qzcb,0.872,0.816,0.9013333333333332,0.822,0.1145239306262754,0.33326083912686877,0.11635329513285768,0.3409158423211546,ptm-J30
0.46171479846771096,0.1183677574998403,dummy-jxznpk9a,0.355,0.347,0.371,0.375,0.137570614217337,0.18974842290485577,0.13983094461446635,0.19479030042505496,ptm-J30
0.4742698475015254,0.06131209207134432,dummy-jz4v2a2w,0.988,0.7946666666666666,0.9686666666666668,0.8113333333333334,0.23001967875341348,0.44809849967604254,0.2376166245867387,0.4799436222312778,ptm-J30
0.20383396989370295,0.02407985536445442,dummy-jzyeo574,0.5973333333333334,0.6386666666666667,0.596,0.64,0.05240342944066629,0.16876599340654616,0.05294549911863415,0.17100944074664615,ptm-J30
0.24238653334962337,0.01734240251463114,dummy-k0ewuv4d,0.8773333333333333,0.642,0.876,0.6413333333333333,0.05465410627966438,0.16158365456322063,0.0551582745341731,0.16341763306424498,ptm-J30
0.12442567220783576,0.0580638217469985,dummy-k0fsxvrh,0.9146666666666666,0.9673333333333334,0.9853333333333332,0.9946666666666668,0.20305033881337567,0.27338738706686244,0.20854850107118095,0.28572018171466573,ptm-J30
0.4191628703668921,0.05306430949316142,dummy-k0ldbu89,0.8166666666666667,0.7773333333333333,0.838,0.7953333333333333,0.15915522704575713,0.3822524726548311,0.16264948711669538,0.4002516602330359,ptm-J30
0.07753857242256926,0.03772985011428331,dummy-k30s2hk9,1,0.8586666666666667,0.964,0.918,0.12503483652846817,0.2290494824836184,0.12683852327925638,0.23440504138060528,ptm-J30
0.06657123240059254,0.04952629879089111,dummy-k3czwut2,0.998,0.9986666666666668,0.9986666666666668,0.9993333333333332,0.19554720167806125,0.21273904505046773,0.19968731777040952,0.22057250200395256,ptm-J30
0.3655840118098015,0.04614109044857538,dummy-k3lsyqla,0.9546666666666668,0.8013333333333333,0.94,0.8233333333333334,0.17091758788199793,0.37745984461288073,0.17368807521135626,0.39343616130354286,ptm-J30
0.012984725728455,0.02672897166644892,dummy-k3mmw05l,0.9946666666666668,0.9986666666666668,0.9986666666666668,0.9993333333333332,0.0960050529910301,0.10524893054758738,0.09712084324072176,0.10687496172075206,ptm-J30
0.15840009162633517,0.09686072710945838,dummy-k3qxj2rs,0.38333333333333336,0.7273333333333334,0.43,0.7846666666666666,0.16175405491954123,0.3259321313401168,0.1659373132630109,0.3410382890450157,ptm-J30
0.2057671326067141,0.06460060180626892,dummy-k4brb17h,1,0.7453333333333333,0.9586666666666668,0.9606666666666668,0.20667458522109833,0.30169000479700303,0.21416318793109856,0.3240016813150545,ptm-J30
0.10508969579193092,0.05361769435736956,dummy-k6dgdyrc,0.94,0.7513333333333333,0.962,0.7646666666666667,0.1957372862878048,0.2211985103390521,0.19841718934097383,0.23025688928437413,ptm-J30
0.20217613239701865,0.05539785431308648,dummy-k7xm9l3h,0.984,0.71,0.967,0.734,0.18160481787705784,0.2009602038053615,0.18825331500135745,0.20717517649739503,ptm-J30
0.01906859637705282,0.02725271834103317,dummy-k8s478xw,0.9993333333333332,0.9993333333333332,0.9986666666666668,0.9993333333333332,0.10201170016799511,0.1155701173832884,0.10332386400343616,0.11838281092760627,ptm-J30
0.09405993224438508,0.04605461150989523,dummy-k8ur8n09,0.7313333333333333,0.6486666666666666,0.734,0.6486666666666666,0.12423376870495442,0.15463041517840864,0.12547031685313853,0.15693190196138793,ptm-J30
0.4909074605965814,0.05908114589199074,dummy-kb5n8z0m,0.958,0.8773333333333333,0.9693333333333334,0.976,0.22403666472517297,0.582212549281448,0.231073365846237,0.609500416547597,ptm-J30
0.19687979492924773,0.05124081717165107,dummy-kca4bokc,0.48,0.758,0.6113333333333333,0.7713333333333333,0.10786417925326763,0.3548336244593154,0.10975108380869908,0.36130560638371,ptm-J30
0.01933752652314373,0.02380121939875653,dummy-kcnuj6dk,0.7146666666666667,0.9106666666666666,0.6586666666666666,0.9473333333333334,0.05284506445750279,0.13269972685591436,0.05355768226933903,0.1346422846464454,ptm-J30
0.03330861420778418,0.05343760869266588,dummy-kdhntpx2,0.9986666666666668,1,0.9986666666666668,1,0.13655670793654986,0.14125975115191633,0.13972156756296888,0.14406574322345664,ptm-J30
