variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,data_type,data_seed,model,ntrain,ntest,job,run,acceptance_prob,position_moved,kernel,mcmc_strategy,apply_jitter
x2_igvar,5228.395415504611,5228.395415504611,6329.413009630137,6329.413009630137,0.9999934726347056,0.9999934726347056,143.09062231093213,173.2232500482131,143.09062231093213,173.2232500482131,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x3_coef,923.4526643858014,3761.5349224185607,1405.8558148487684,4654.7461842225175,1.0043003250173452,1.0006974502109909,25.273034252498217,38.47543413216342,102.94561335147758,127.3910014963078,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
x3_igvar,4203.05425694246,4203.05425694246,5820.240768093717,5820.240768093717,1.0008333413355828,1.0008333413355828,115.0291057652272,159.28823421355727,115.0291057652272,159.28823421355727,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
y_coef,2163.607115177837,9374.62230757231,3138.244655845122,6147.572476907413,1.0016439255806222,1.0003634777408563,59.21355673082302,85.88741766492728,256.56447787834406,168.24664194556544,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
y_igvar,2226.6656040890994,2226.6656040890994,4091.323637689388,4091.323637689388,1.000872068874028,1.000872068874028,60.93934020801412,111.97126438760355,60.93934020801412,111.97126438760355,mixture,11,bctm-locshift,20000,5000,005-bctm-locshift,20260109-223617,NA,NA,NA,NA,NA
intercept,6.1147761425066225,6.1147761425066225,20.485310145956625,20.485310145956625,1.7295418609959996,1.7295418609959996,0.8059409133351166,2.7000088284863213,0.8059409133351166,2.7000088284863213,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx0_coef,4.604374494352051,4.808772686570591,14.100980722146328,24.052167372139895,2.8595225064838803,2.499943146842076,0.6068666618094415,1.8585402011902312,0.6338067920581226,3.170128437710101,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx0_igvar,37.89729644450171,37.89729644450171,316.33218265807636,316.33218265807636,1.0937991623151089,1.0937991623151089,4.994946830039297,41.69327580718788,4.994946830039297,41.69327580718788,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx0_penalty_weight,205.42221774144835,205.42221774144835,374.6755995482983,374.6755995482983,1.0357637957832366,1.0357637957832366,27.075099059636383,49.383066177227754,27.075099059636383,49.383066177227754,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
yx1_coef,4.663967125509634,6.064409048251321,11.559414922262384,25.030564880488527,2.743860674744773,1.7672113019609463,0.6147211013610907,1.5235562517663552,0.7993024197909336,3.299083376224017,mixture,1,bctm-te,2000,5000,006-bctm-te,20260109-224425,NA,NA,NA,NA,NA
