variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
g(sex)_coef,17606.788233310024,17606.788233310024,18323.2698373962,18323.2698373962,1.0000032118471065,1.0000032118471065,3705.59747195823,3856.391153669206,3705.59747195823,3856.391153669206,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
loc_intercept,17851.363880971683,17851.363880971683,19558.999836143477,19558.999836143477,1.0000070271781325,1.0000070271781325,3757.0718743119182,4116.46800009357,3757.0718743119182,4116.46800009357,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
ri(id)_coef_latent,7971.074321837636,11351.81809936924,14343.894522528306,16603.707254829358,1.0008439885431957,1.0001814253420986,1677.6252695486487,3018.8753664996993,2389.1505874745326,3494.4849005583437,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
ri(id)_variance,18318.82588005608,18318.82588005608,18034.97174169797,18034.97174169797,1.0001480134597651,1.0001480134597651,3855.4558600275254,3795.714744068924,3855.4558600275254,3795.714744068924,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
s(age)_coef,8542.427830832272,8542.427830832272,13479.186579553285,13479.186579553285,1.0007390249703356,1.0007390249703356,1797.8746921275765,2836.8853564529863,1797.8746921275765,2836.8853564529863,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
s(sex)_coef,2120.1850782513843,2120.1850782513843,3864.73037502878,3864.73037502878,1.001505745611013,1.001505745611013,446.222920497686,813.3871389679626,446.222920497686,813.3871389679626,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
scale_intercept,19069.766370078905,19069.766370078905,19819.844366607093,19819.844366607093,1.000030007767025,1.000030007767025,4013.501901392136,4171.366418808656,4013.501901392136,4171.366418808656,gaussian-linear,006-gaussian-linear,20250909-144411,10,NA,NA,NA,NA
g(age)_coef,12937.109346908124,15166.863362204998,14372.954109362809,15369.881345919754,1.0004201354834643,1.0002227497273204,3904.016791505968,4337.310034401737,4576.887127778366,4638.1516341025335,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
g(age)_variance,5510.285660964749,5510.285660964749,10166.511793213276,10166.511793213276,1.0005257701504775,1.0005257701504775,1662.8326444146671,3067.93671503084,1662.8326444146671,3067.93671503084,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
g(sex)_coef,13735.286738520805,13735.286738520805,17471.25866732446,17471.25866732446,1.0004328844473764,1.0004328844473764,4144.881876270909,5272.2818812905925,4144.881876270909,5272.2818812905925,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
loc_intercept,13526.904015896718,13526.904015896718,17586.443158532722,17586.443158532722,1.000090328380468,1.000090328380468,4081.998458780233,5307.040974356897,4081.998458780233,5307.040974356897,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
s(age)_coef,12116.415212924609,14951.78975724947,12020.23185423189,14497.516952756268,1.0005149011058252,1.000083882475742,3656.356854974023,3627.331712082303,4511.984610327142,4374.899222153483,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
s(age)_variance,4980.852705605811,4980.852705605811,9102.84073941802,9102.84073941802,1.000559826463118,1.000559826463118,1503.0662628935972,2746.9539094207157,1503.0662628935972,2746.9539094207157,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
s(sex)_coef,12997.292001577913,12997.292001577913,17571.868475818643,17571.868475818643,0.9999273266754816,0.9999273266754816,3922.178042840249,5302.642788910606,3922.178042840249,5302.642788910606,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
scale_intercept,15028.700778073302,15028.700778073302,18189.778771733345,18189.778771733345,1.0000558406923574,1.0000558406923574,4535.19396171288,5489.108876983979,4535.19396171288,5489.108876983979,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-151910,-1,NA,NA,NA,NA
g(age)_coef,11528.387460276352,15025.638944103,12790.011543053646,15341.34797128834,1.000547070700876,1.000177034720078,4000.3779937984486,4438.1645649541215,5213.932614762213,5323.484401527497,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
g(age)_variance,5543.310496418232,5543.310496418232,9027.079030652056,9027.079030652056,1.0008544171288554,1.0008544171288554,1923.541987036223,3132.4179922761086,1923.541987036223,3132.4179922761086,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
g(sex)_coef,10946.97443752937,10946.97443752937,15424.360508859842,15424.360508859842,1.0002570676279765,1.0002570676279765,3798.6262857196584,5352.28995040887,3798.6262857196584,5352.28995040887,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
loc_intercept,13343.004442483698,13343.004442483698,17231.210362197016,17231.210362197016,0.9999730395615648,0.9999730395615648,4630.054422336982,5979.271166671246,4630.054422336982,5979.271166671246,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
s(age)_coef,9383.451351437196,14815.95469782325,11057.353122912204,13634.80269098928,1.0004818235877255,1.000223508185316,3256.0800390784093,3836.927953278229,5141.171680298999,4731.3091117697295,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
s(age)_variance,4459.365300862283,4459.365300862283,7725.083202553534,7725.083202553534,1.000790309791352,1.000790309791352,1547.4104142792444,2680.6223290326852,1547.4104142792444,2680.6223290326852,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
s(sex)_coef,13279.494724258757,13279.494724258757,17127.273016359788,17127.273016359788,1.00011389617599,1.00011389617599,4608.016398367469,5943.2046593254645,4608.016398367469,5943.2046593254645,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
scale_intercept,12173.5782180887,12173.5782180887,16783.878104315503,16783.878104315503,1.00044631496778,1.00044631496778,4224.260728330759,5824.045804363508,4224.260728330759,5824.045804363508,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145915,1,NA,NA,NA,NA
g(age)_coef,13183.748183359856,15096.144638688167,13289.686873852484,15613.38030962728,1.0003642627331792,1.00011026397527,4737.475762769182,4775.543994319736,5424.6803217396555,5610.544874113805,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
g(age)_variance,6646.120612131118,6646.120612131118,10259.817743755404,10259.817743755404,1.0005001804855875,1.0005001804855875,2388.2309399805104,3686.784457307752,2388.2309399805104,3686.784457307752,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
g(sex)_coef,14036.283305275258,14036.283305275258,17106.056677459717,17106.056677459717,1.0003070469077666,1.0003070469077666,5043.827524105266,6146.926335282032,5043.827524105266,6146.926335282032,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
loc_intercept,14969.273072694832,14969.273072694832,17650.92932949912,17650.92932949912,1.0001030647729896,1.0001030647729896,5379.090026740193,6342.722018492252,5379.090026740193,6342.722018492252,gaussian-nonlinear-nori,007-gaussian-nonlinear-nori,20250909-145909,2,NA,NA,NA,NA
