waic,crps,fit_seconds,model,job,run,fold,log_score,crps_samples
1517.1548053190254,0.4113686027783716,22041.18544435501,ptm-linear-77-id,002c-ptm-linear,20250909-210015,7,NA,NA
1454.538884096614,0.5659405941204191,22023.17154932022,ptm-linear-77-id,002c-ptm-linear,20250909-205953,8,NA,NA
1499.5234887281822,0.5224473660675314,21760.52203512192,ptm-linear-77-id,002c-ptm-linear,20250909-205729,9,NA,NA
1484.21275954667,0.5645177232237639,22183.60720348358,ptm-linear-77-id,002c-ptm-linear,20250909-210222,10,NA,NA
2739.291954486141,0.1891401834258421,3112.679666996002,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250906-002813,-1,1.1363397823833932,0.1891401834258421
2453.698730145553,0.5788135998533143,5311.627896785736,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-144923,1,143.33980073290542,0.5788135998533143
2477.040471960086,0.4956596880174848,5417.771768569946,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-145234,2,132.23576648449,0.4956596880174848
2481.9292774524047,0.5388483313595095,5066.139455318451,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164321,3,130.94038679059832,0.5388483313595095
2440.6602006152975,0.5400533272658536,5259.937380075455,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-164958,4,149.49964146636887,0.5400533272658536
2478.916983150285,0.5235747408932425,5015.640075683594,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184022,5,131.2556769915437,0.5235747408932425
2436.816347587977,0.5771257833734704,4923.134476661682,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-184411,6,152.76604223074816,0.5771257833734704
2502.367020341912,0.4274980650153389,5408.020176649094,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204522,7,120.10138476935872,0.4274980650153389
2438.2991405367416,0.5602056687154234,5244.047852754593,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-204445,8,152.02481237194087,0.5602056687154234
2473.298302598638,0.47828641995585297,4853.2544548511505,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224452,9,135.24453089118362,0.47828641995585297
2468.023589833845,0.5478377988259182,4985.940673112869,ptm-nonlinear-nori-77-id,003d-ptm-nonlinear-nori-iwls,20250905-224604,10,138.61196233693684,0.5478377988259182
2751.4321654885,0.2272248037794045,3446.6749465465546,ptm-linear-nori-77-id,004d-ptm-linear-nori-iwls,20250906-000552,-1,1.217958712723938,0.2272248037794045
