waic,log_score,crps,fit_seconds,model,job,run,fold,a,b,nparam,trafo_target_slope
13749.135292002607,1.333086562353527,0.30324332313196306,32250.517998218536,ptm-47-co,001h-ptm,20250906-033954,-1,-4,7,30,continue_linearly
13254.6337890625,685.24835,0.36204004,41.07296204566955,gaussian,002-gaussian,20250826-163641,1,NA,NA,NA,NA
13134.972847971316,742.4359758230169,0.3740548569259199,245.2198436260223,gaussian,002-gaussian,20250817-145958,2,NA,NA,NA,NA
13206.792473917323,708.0389764226242,0.3629074508840739,247.5585744380951,gaussian,002-gaussian,20250817-152350,3,NA,NA,NA,NA
13094.567311424227,763.3815105511773,0.3801188129478741,246.5937142372131,gaussian,002-gaussian,20250817-151721,4,NA,NA,NA,NA
13219.874166193436,702.3273272128478,0.36462224042665115,241.53324127197263,gaussian,002-gaussian,20250817-152854,5,NA,NA,NA,NA
13147.09648550453,737.5698179800982,0.3759140449143295,247.4967348575592,gaussian,002-gaussian,20250817-151723,6,NA,NA,NA,NA
13087.077739764378,769.4680426031573,0.3932101133597384,247.1639883518219,gaussian,002-gaussian,20250817-151136,7,NA,NA,NA,NA
13161.168725288971,730.5835293963632,0.3749677842890806,246.4974660873413,gaussian,002-gaussian,20250817-151135,8,NA,NA,NA,NA
13154.42093646168,734.6495607643997,0.3794279812060269,246.03460216522217,gaussian,002-gaussian,20250817-150549,9,NA,NA,NA,NA
13132.698961143366,744.8959487559779,0.37791425020303165,247.3180387020111,gaussian,002-gaussian,20250817-150551,10,NA,NA,NA,NA
14619.9658203125,1.5481272,0.64189965,264.6215591430664,gaussian,002b-gaussian,20250825-163931,-1,NA,NA,NA,NA
12621.5576171875,679.2358,0.35371608,7689.64638710022,bctm,003-bctm,20250824-232202,1,NA,NA,NA,NA
12589.470703125,695.038,0.3618873,7491.723783731461,bctm,003-bctm,20250824-231748,2,NA,NA,NA,NA
12610.7412109375,685.64185,0.35172996,6264.224584102631,bctm,003-bctm,20250826-094056,3,NA,NA,NA,NA
12576.0556640625,702.228,0.36894882,6439.134932756424,bctm,003-bctm,20250826-094410,4,NA,NA,NA,NA
