kernel,error_code,error_msg,phase,count,relative,model,job,run,fold,a,b,nparam,trafo_target_slope,index
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-163845,6,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1160,0.05799999999999999,ptm,001g-ptm,20250905-163845,6,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-163845,6,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,88,0.0044,ptm,001g-ptm,20250905-163210,6,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-163210,6,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2523,0.12614999999999998,ptm,001g-ptm,20250905-163210,6,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-163210,6,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,104,0.0052,ptm,001g-ptm,20250906-040105,6,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-040105,6,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3684,0.1842,ptm,001g-ptm,20250906-040105,6,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-040105,6,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,104,0.0052,ptm,001g-ptm,20250906-042214,6,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-042214,6,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3684,0.1842,ptm,001g-ptm,20250906-042214,6,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-042214,6,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,88,0.0044,ptm,001g-ptm,20250905-163812,7,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-163812,7,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1328,0.06639999999999999,ptm,001g-ptm,20250905-163812,7,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-163812,7,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,89,0.00445,ptm,001g-ptm,20250905-165830,7,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-165830,7,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2215,0.11075000000000002,ptm,001g-ptm,20250905-165830,7,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-165830,7,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,110,0.0055,ptm,001g-ptm,20250906-035810,7,-4,7,30,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-035810,7,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,warmup,3152,0.15760000000000002,ptm,001g-ptm,20250906-035810,7,-4,7,30,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-035810,7,-4,7,30,identity,NA
kernel_00,1,divergent transition,warmup,106,0.00529999999999999,ptm,001g-ptm,20250906-042539,7,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250906-042539,7,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,3052,0.1526,ptm,001g-ptm,20250906-042539,7,-4,7,30,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250906-042539,7,-4,7,30,continue_linearly,NA
kernel_00,1,divergent transition,warmup,90,0.0045,ptm,001g-ptm,20250905-162405,8,-4,4,20,identity,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-162405,8,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,warmup,1117,0.05585,ptm,001g-ptm,20250905-162405,8,-4,4,20,identity,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-162405,8,-4,4,20,identity,NA
kernel_00,1,divergent transition,warmup,75,0.00375,ptm,001g-ptm,20250905-203415,8,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,posterior,0,0,ptm,001g-ptm,20250905-203415,8,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,warmup,2373,0.11865,ptm,001g-ptm,20250905-203415,8,-4,4,20,continue_linearly,NA
kernel_00,2,maximum tree depth,posterior,0,0,ptm,001g-ptm,20250905-203415,8,-4,4,20,continue_linearly,NA
kernel_00,1,divergent transition,warmup,98,0.0049,ptm,001g-ptm,20250906-043939,8,-4,7,30,identity,NA
