variable,ess_bulk_min,ess_bulk_median,ess_tail_min,ess_tail_median,rhat_max,rhat_median,ess_bulk_min_per_minute,ess_tail_min_per_minute,ess_bulk_median_per_minute,ess_tail_median_per_minute,model,job,run,fold,a,b,nparam,trafo_target_slope
trafo0_latent,18686.887876156154,22527.843258145167,17655.073462405886,21340.73590600976,1.000254616235927,1.0000823769390232,69.27972231515297,65.45437608633539,83.51967088511395,79.11859199711162,ptm-44-co,001g-ptm,20250905-170526,3,-4,4,20,continue_linearly
trafo0_scale_square_transformed,15853.534715375225,15853.534715375225,21095.908169208455,21095.908169208455,1.0001069902929314,1.0001069902929314,58.77535575071671,78.21091824570627,58.77535575071671,78.21091824570627,ptm-44-co,001g-ptm,20250905-170526,3,-4,4,20,continue_linearly
g(age)_coef,5976.349200767922,6518.799279857062,8215.870502272066,9184.07403222023,1.0012455048945603,1.0005093260066822,11.001740911399034,15.1244305831374,12.000326339897724,16.906776966883342,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
g(age)_variance,4575.265474089849,4575.265474089849,8649.294385219413,8649.294385219413,1.0007447479514109,1.0007447479514109,8.422514089427363,15.92231188237382,8.422514089427363,15.92231188237382,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
loc_intercept,5113.8869183733495,5113.8869183733495,9153.182992347043,9153.182992347043,1.0010388384063682,1.0010388384063682,9.414051461200954,16.849910273564152,9.414051461200954,16.849910273564152,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
s(age)_coef,5918.494471185444,6292.4271229172355,8947.981553146503,9635.025591404412,1.000877698145107,1.0005523885973164,10.895237304601142,16.47215907581947,11.58360239413389,17.736924612388783,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
s(age)_variance,18074.78253381469,18074.78253381469,28137.995404706595,28137.995404706595,1.000103403778269,1.000103403778269,33.27350323527921,51.798669189032864,33.27350323527921,51.798669189032864,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
scale_intercept,4969.00645252199,4969.00645252199,9338.48207968632,9338.48207968632,1.0008259288836758,1.0008259288836758,9.147343928747086,17.191023632496297,9.147343928747086,17.191023632496297,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
trafo0_latent,19103.27522321696,28360.15954589205,20753.351783386144,24508.01737327635,1.0002126085960394,1.000077620451439,35.166834718757094,38.20442743449419,52.20764668332181,45.11631571967162,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
trafo0_scale_square_transformed,12360.614726729533,12360.614726729533,18816.495128602714,18816.495128602714,1.000111386687218,1.000111386687218,22.754406772554063,34.63890701682712,22.754406772554063,34.63890701682712,ptm-47-id,001g-ptm,20250906-021340,4,-4,7,30,identity
