data_seed,data_type,ntrain,mcmc_strategy,apply_jitter
17,ptm,1000,iwls-nuts,FALSE
18,gaussian,250,iwls-nuts,FALSE
18,gaussian,500,iwls-nuts,FALSE
18,gaussian,1000,iwls-nuts,FALSE
18,mixture,250,iwls-nuts,FALSE
18,mixture,500,iwls-nuts,FALSE
18,mixture,1000,iwls-nuts,FALSE
18,skewnorm,250,iwls-nuts,FALSE
18,skewnorm,500,iwls-nuts,FALSE
18,skewnorm,1000,iwls-nuts,FALSE
18,ptm,250,iwls-nuts,FALSE
18,ptm,500,iwls-nuts,FALSE
18,ptm,1000,iwls-nuts,FALSE
19,gaussian,250,iwls-nuts,FALSE
19,gaussian,500,iwls-nuts,FALSE
19,gaussian,1000,iwls-nuts,FALSE
19,mixture,250,iwls-nuts,FALSE
19,mixture,500,iwls-nuts,FALSE
19,mixture,1000,iwls-nuts,FALSE
19,skewnorm,250,iwls-nuts,FALSE
19,skewnorm,500,iwls-nuts,FALSE
19,skewnorm,1000,iwls-nuts,FALSE
19,ptm,250,iwls-nuts,FALSE
19,ptm,500,iwls-nuts,FALSE
19,ptm,1000,iwls-nuts,FALSE
20,gaussian,250,iwls-nuts,FALSE
20,gaussian,500,iwls-nuts,FALSE
20,gaussian,1000,iwls-nuts,FALSE
20,mixture,250,iwls-nuts,FALSE
20,mixture,500,iwls-nuts,FALSE
20,mixture,1000,iwls-nuts,FALSE
20,skewnorm,250,iwls-nuts,FALSE
20,skewnorm,500,iwls-nuts,FALSE
20,skewnorm,1000,iwls-nuts,FALSE
20,ptm,250,iwls-nuts,FALSE
20,ptm,500,iwls-nuts,FALSE
20,ptm,1000,iwls-nuts,FALSE
21,gaussian,250,iwls-nuts,FALSE
21,gaussian,500,iwls-nuts,FALSE
21,gaussian,1000,iwls-nuts,FALSE
21,mixture,250,iwls-nuts,FALSE
21,mixture,500,iwls-nuts,FALSE
21,mixture,1000,iwls-nuts,FALSE
21,skewnorm,250,iwls-nuts,FALSE
21,skewnorm,500,iwls-nuts,FALSE
21,skewnorm,1000,iwls-nuts,FALSE
21,ptm,250,iwls-nuts,FALSE
21,ptm,500,iwls-nuts,FALSE
21,ptm,1000,iwls-nuts,FALSE
22,gaussian,250,iwls-nuts,FALSE
22,gaussian,500,iwls-nuts,FALSE
22,gaussian,1000,iwls-nuts,FALSE
22,mixture,250,iwls-nuts,FALSE
22,mixture,500,iwls-nuts,FALSE
22,mixture,1000,iwls-nuts,FALSE
22,skewnorm,250,iwls-nuts,FALSE
22,skewnorm,500,iwls-nuts,FALSE
22,skewnorm,1000,iwls-nuts,FALSE
22,ptm,250,iwls-nuts,FALSE
22,ptm,500,iwls-nuts,FALSE
22,ptm,1000,iwls-nuts,FALSE
23,gaussian,250,iwls-nuts,FALSE
23,gaussian,500,iwls-nuts,FALSE
23,gaussian,1000,iwls-nuts,FALSE
23,mixture,250,iwls-nuts,FALSE
23,mixture,500,iwls-nuts,FALSE
23,mixture,1000,iwls-nuts,FALSE
23,skewnorm,250,iwls-nuts,FALSE
23,skewnorm,500,iwls-nuts,FALSE
23,skewnorm,1000,iwls-nuts,FALSE
23,ptm,250,iwls-nuts,FALSE
23,ptm,500,iwls-nuts,FALSE
23,ptm,1000,iwls-nuts,FALSE
24,gaussian,250,iwls-nuts,FALSE
24,gaussian,500,iwls-nuts,FALSE
24,gaussian,1000,iwls-nuts,FALSE
24,mixture,250,iwls-nuts,FALSE
24,mixture,500,iwls-nuts,FALSE
24,mixture,1000,iwls-nuts,FALSE
24,skewnorm,250,iwls-nuts,FALSE
24,skewnorm,500,iwls-nuts,FALSE
24,skewnorm,1000,iwls-nuts,FALSE
24,ptm,250,iwls-nuts,FALSE
24,ptm,500,iwls-nuts,FALSE
24,ptm,1000,iwls-nuts,FALSE
25,gaussian,250,iwls-nuts,FALSE
25,gaussian,500,iwls-nuts,FALSE
25,gaussian,1000,iwls-nuts,FALSE
25,mixture,250,iwls-nuts,FALSE
25,mixture,500,iwls-nuts,FALSE
25,mixture,1000,iwls-nuts,FALSE
25,skewnorm,250,iwls-nuts,FALSE
25,skewnorm,500,iwls-nuts,FALSE
25,skewnorm,1000,iwls-nuts,FALSE
25,ptm,250,iwls-nuts,FALSE
25,ptm,500,iwls-nuts,FALSE
25,ptm,1000,iwls-nuts,FALSE
26,gaussian,250,iwls-nuts,FALSE
26,gaussian,500,iwls-nuts,FALSE
26,gaussian,1000,iwls-nuts,FALSE
26,mixture,250,iwls-nuts,FALSE
26,mixture,500,iwls-nuts,FALSE
26,mixture,1000,iwls-nuts,FALSE
26,skewnorm,250,iwls-nuts,FALSE
26,skewnorm,500,iwls-nuts,FALSE
26,skewnorm,1000,iwls-nuts,FALSE
26,ptm,250,iwls-nuts,FALSE
26,ptm,500,iwls-nuts,FALSE
26,ptm,1000,iwls-nuts,FALSE
27,gaussian,250,iwls-nuts,FALSE
27,gaussian,500,iwls-nuts,FALSE
27,gaussian,1000,iwls-nuts,FALSE
27,mixture,250,iwls-nuts,FALSE
27,mixture,500,iwls-nuts,FALSE
27,mixture,1000,iwls-nuts,FALSE
27,skewnorm,250,iwls-nuts,FALSE
27,skewnorm,500,iwls-nuts,FALSE
27,skewnorm,1000,iwls-nuts,FALSE
27,ptm,250,iwls-nuts,FALSE
27,ptm,500,iwls-nuts,FALSE
27,ptm,1000,iwls-nuts,FALSE
28,gaussian,250,iwls-nuts,FALSE
28,gaussian,500,iwls-nuts,FALSE
28,gaussian,1000,iwls-nuts,FALSE
28,mixture,250,iwls-nuts,FALSE
28,mixture,500,iwls-nuts,FALSE
28,mixture,1000,iwls-nuts,FALSE
28,skewnorm,250,iwls-nuts,FALSE
28,skewnorm,500,iwls-nuts,FALSE
28,skewnorm,1000,iwls-nuts,FALSE
28,ptm,250,iwls-nuts,FALSE
28,ptm,500,iwls-nuts,FALSE
28,ptm,1000,iwls-nuts,FALSE
29,gaussian,250,iwls-nuts,FALSE
29,gaussian,500,iwls-nuts,FALSE
29,gaussian,1000,iwls-nuts,FALSE
29,mixture,250,iwls-nuts,FALSE
29,mixture,500,iwls-nuts,FALSE
29,mixture,1000,iwls-nuts,FALSE
29,skewnorm,250,iwls-nuts,FALSE
29,skewnorm,500,iwls-nuts,FALSE
29,skewnorm,1000,iwls-nuts,FALSE
29,ptm,250,iwls-nuts,FALSE
29,ptm,500,iwls-nuts,FALSE
29,ptm,1000,iwls-nuts,FALSE
30,gaussian,250,iwls-nuts,FALSE
30,gaussian,500,iwls-nuts,FALSE
30,gaussian,1000,iwls-nuts,FALSE
30,mixture,250,iwls-nuts,FALSE
30,mixture,500,iwls-nuts,FALSE
30,mixture,1000,iwls-nuts,FALSE
30,skewnorm,250,iwls-nuts,FALSE
30,skewnorm,500,iwls-nuts,FALSE
30,skewnorm,1000,iwls-nuts,FALSE
30,ptm,250,iwls-nuts,FALSE
30,ptm,500,iwls-nuts,FALSE
30,ptm,1000,iwls-nuts,FALSE
31,gaussian,250,iwls-nuts,FALSE
31,gaussian,500,iwls-nuts,FALSE
31,gaussian,1000,iwls-nuts,FALSE
31,mixture,250,iwls-nuts,FALSE
31,mixture,500,iwls-nuts,FALSE
31,mixture,1000,iwls-nuts,FALSE
31,skewnorm,250,iwls-nuts,FALSE
31,skewnorm,500,iwls-nuts,FALSE
31,skewnorm,1000,iwls-nuts,FALSE
31,ptm,250,iwls-nuts,FALSE
31,ptm,500,iwls-nuts,FALSE
31,ptm,1000,iwls-nuts,FALSE
32,gaussian,250,iwls-nuts,FALSE
32,gaussian,500,iwls-nuts,FALSE
32,gaussian,1000,iwls-nuts,FALSE
32,mixture,250,iwls-nuts,FALSE
